8229,1084,611,39,74,161,509,552,38
19481,2558,1321,218,96,221,974,796,158
13860,1656,653,95,66,148,799,502,172
9488,1163,586,32,68,116,512,390,29
6311,1023,396,30,20,52,369,232,92
8099,517,217,20,38,86,386,117,44
3725,390,190,16,6,32,323,72,26
4310,396,272,33,121,30,352,78,8
5994,681,462,23,63,52,379,268,106
10182,1058,611,24,40,81,438,195,82
13199,1639,941,54,48,111,661,303,72
16339,2168,1101,74,183,213,666,348,157
18799,2273,1499,146,178,147,866,527,80
13293,1692,939,85,111,133,702,393,98
19581,2721,1486,153,158,126,957,640,284
19532,3446,1179,79,108,161,929,650,212
19159,3091,2151,79,129,148,909,512,161
20936,2903,1532,110,109,154,872,465,103
13780,1611,1044,38,111,115,508,374,82
24232,2566,1251,67,73,112,986,589,145
22566,3422,1299,42,79,146,848,587,126
21320,3363,1849,196,103,128,860,688,98
20740,4315,2101,263,560,202,784,551,161
9899,2343,1081,56,281,109,432,166,48
24366,5084,1986,322,176,230,1025,794,119
19467,3979,1902,196,236,223,892,490,160
14854,2419,1288,88,117,133,606,520,38
10429,1636,1104,100,67,116,469,338,36
7466,1035,479,40,76,49,373,124,36
5200,747,373,12,122,52,252,157,14
5703,523,251,12,48,42,301,156,28
4980,679,370,18,124,45,315,126,112
8289,905,1050,24,110,56,439,616,40
9731,1140,1448,36,86,100,478,392,37
13126,1558,1515,52,40,77,691,534,189
15804,2140,1655,32,67,146,862,733,91
17126,2737,2351,188,204,126,936,668,116
16443,3079,2750,61,65,158,1018,688,94
16577,2850,1941,49,164,114,983,663,79
19435,2781,1931,62,142,186,1409,734,70
16601,2802,1622,51,71,117,949,410,46
14227,2325,1554,72,107,98,648,751,70
18559,3121,2157,47,102,153,758,530,66
22369,3472,2442,89,78,150,875,557,158
9146,1307,1145,34,36,55,318,197,31
10076,1335,1048,32,94,77,338,298,62
24184,3624,1874,117,105,212,899,1368,99
55567,6153,2953,307,188,497,1563,9757,537
32196,4035,1475,188,60,271,909,4119,469
42804,4848,1913,224,90,382,1123,6031,455
32010,3235,1741,124,165,216,986,4836,210
22749,2025,1271,84,52,211,855,2808,200
17734,1078,941,20,51,123,714,3710,86
12519,1303,393,36,52,91,578,2426,43
9376,938,286,26,6,53,451,1658,79
8640,732,312,31,20,58,475,1351,150
12819,1062,365,78,35,81,537,1645,250
18822,1704,852,84,37,157,856,3226,535
23595,1931,1042,111,34,235,805,2717,426
25433,2555,1137,166,54,251,868,3163,438
25887,2352,1262,223,56,276,1189,2661,753
24473,2848,1438,157,51,260,933,2346,545
24747,2554,1522,159,56,228,988,2116,414
23608,2362,1695,112,143,220,1117,1653,307
25597,2949,1487,120,140,157,1110,1467,264
25585,2457,1227,100,66,170,911,1369,366
25875,2669,1464,152,112,158,1131,1055,213
26764,2814,1383,79,98,165,931,969,244
28387,3736,1353,127,124,128,940,1256,203
25651,3553,1020,113,101,231,980,947,171
31822,3894,1106,215,119,198,1666,1175,111
33335,3698,1812,212,237,287,1493,1391,256
31642,3360,1269,270,237,268,1846,968,228
25201,2793,1131,219,102,227,1516,893,162
18511,2118,886,90,63,116,920,540,109
11570,1416,631,48,83,96,702,279,60
8335,935,378,34,42,80,531,278,34
5773,725,217,14,30,42,398,314,18
5474,546,428,16,22,24,372,200,20
5933,616,381,12,48,49,440,194,25
7985,809,494,72,52,40,428,464,38
13534,1555,820,202,104,83,740,568,80
1009,114,39,8,6,8,52,50,0
16554,1728,631,224,86,77,643,713,82
24111,2235,915,331,127,130,1206,910,88
24229,2763,1066,164,115,131,1179,881,137
23326,2624,1067,233,69,259,1324,552,132
22638,2845,1462,149,175,182,1117,580,130
21714,2802,1532,282,157,147,873,679,147
23074,2521,1082,166,98,175,1309,722,141
22606,2663,1102,190,126,187,1396,613,115
22527,3133,1231,95,98,186,1309,500,84
21327,3262,1302,91,76,180,1274,442,148
24944,4146,1650,116,125,234,1103,474,98
25501,4697,1311,126,162,138,1202,447,93
25187,3995,1347,131,113,170,1325,473,84
23104,5110,1125,158,83,122,1416,438,133
19809,3323,944,108,107,203,1300,388,145
14451,4664,892,68,35,133,805,291,33
9224,6997,281,51,40,84,440,224,36
6600,914,189,13,18,38,412,179,18
7541,857,153,10,23,45,368,51,104
3537,383,79,10,6,32,312,40,8
5018,546,272,18,15,43,386,44,5
8793,883,378,32,54,47,587,101,14
11108,1276,561,72,36,62,651,226,25
15088,1523,661,54,30,159,801,541,186
12089,1505,572,46,172,127,717,332,146
19983,2395,1154,60,125,189,998,400,124
11804,1416,615,60,69,96,609,248,92
18803,2223,827,52,139,193,915,313,208
17296,2084,1238,78,79,151,768,273,144
19287,2214,1232,1076,91,236,985,372,168
18306,2176,944,296,56,299,996,291,100
17838,2161,1076,140,148,312,1002,393,86
18025,2469,839,164,38,385,933,255,87
17588,2326,830,131,24,277,855,424,86
16876,2365,773,133,63,948,848,385,105
19445,3055,1084,128,51,486,949,510,170
19624,3018,1217,140,30,473,931,469,110
20904,2901,887,75,26,375,1131,340,84
16435,2325,638,86,52,284,1222,305,139
7447,1086,233,38,24,112,554,218,44
9301,1257,348,52,26,139,712,208,216
6737,857,182,39,6,122,478,135,84
5021,565,173,32,24,55,432,83,68
4496,386,147,14,8,44,349,53,74
4358,470,69,28,8,31,359,41,132
5037,461,267,42,12,65,339,118,54
9323,678,548,224,20,110,498,167,84
10308,927,571,62,10,168,638,199,138
12732,1489,445,30,45,220,806,225,169
7197,803,297,41,16,52,544,147,42
8877,1403,510,48,22,121,623,177,69
16533,2746,756,112,39,195,910,272,361
17580,2515,718,108,46,220,787,316,325
16738,2161,846,52,28,234,1078,291,255
17434,2300,666,69,56,130,816,264,175
17481,2267,667,60,43,164,704,453,199
16789,1942,760,27,44,246,774,411,242
17022,2115,805,35,38,123,924,489,241
17403,2060,818,75,48,134,1130,323,139
18066,2710,1209,146,51,214,1020,326,110
2183,295,273,10,2,24,120,40,8
20630,3547,1290,61,31,251,927,435,122
23014,3040,1155,53,20,169,999,431,179
17581,2096,751,30,122,186,595,303,147
9432,1731,459,46,33,268,539,159,76
7032,1342,305,16,49,314,432,122,38
5487,667,153,16,12,138,316,61,31
4564,520,228,16,31,98,388,64,21
3977,608,302,6,13,42,435,70,36
4503,574,235,10,20,48,494,62,24
7075,984,578,42,53,64,666,84,24
9783,1223,797,70,57,92,736,131,58
13932,1723,727,87,62,214,888,280,56
16562,1921,857,100,32,361,1124,368,98
17626,2372,1095,163,60,215,1251,429,134
18383,2928,918,112,78,232,1010,408,112
18369,3078,867,105,54,274,1032,599,167
17932,2551,727,78,63,154,1064,634,95
16593,2151,761,90,46,132,818,521,89
18687,2690,871,135,71,477,941,785,68
18670,2153,835,68,30,257,1140,998,109
17436,2025,815,58,40,193,853,788,122
18253,2604,1153,79,50,173,968,755,141
20438,2706,1359,77,49,178,996,1354,191
11939,1560,528,50,28,153,603,760,117
19271,2914,864,83,44,128,1131,803,172
6719,1021,545,46,6,98,376,319,24
13337,2074,799,20,22,151,846,486,76
9374,1015,413,166,14,61,535,445,30
6527,794,233,34,12,88,456,235,30
5230,552,167,32,12,20,444,184,25
4281,513,147,16,5,24,503,237,16
4432,484,111,17,6,24,525,206,6
7648,815,532,23,22,64,1084,331,30
10083,1108,547,81,16,274,689,323,57
13601,1491,676,69,43,173,799,651,64
17684,2083,1162,60,74,96,908,871,105
19740,2285,1222,80,42,81,1067,1311,100
20611,2246,1609,175,43,115,1227,2105,157
21219,2447,1692,163,39,106,1338,2090,94
20301,2662,1822,106,80,276,1142,1749,205
20134,2225,1803,145,197,166,1455,1507,75
21708,2651,1812,135,276,199,1398,1755,84
21985,2310,2173,98,159,186,1279,1487,98
19078,2057,1780,296,105,114,1314,883,132
23826,3919,2074,435,318,175,1790,1491,340
24807,4534,1924,216,506,196,2285,1283,352
26886,5029,1642,271,260,170,1779,1154,224
25756,4899,1723,282,454,275,1879,1277,249
24406,4430,1613,209,175,220,1640,1917,242
21548,3202,1070,408,162,198,1692,1658,202
13976,1833,763,305,94,139,1000,1087,98
9270,1505,576,145,78,60,690,647,87
6533,945,390,44,50,26,556,328,50
4740,595,174,37,35,50,483,210,18
3963,533,170,17,24,32,409,298,26
4985,509,278,31,34,34,456,304,14
12437,1113,670,161,68,51,1130,638,69
6981,745,334,77,44,62,755,364,47
13065,1583,499,92,34,180,989,754,70
15713,2010,906,93,119,148,946,806,157
15652,2158,960,97,62,75,929,670,153
16880,2482,1129,134,78,156,1173,603,123
17571,2084,1042,82,58,170,1968,571,109
18576,2637,1063,70,59,120,1243,455,173
